NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
ndata = 259608
-2 1
-1 0.252313
266 246832 0.0304786
267 246832 0.0331188
268 246832 0.0251415
269 246832 0.0103585
270 246832 -0.0137073
271 246832 -0.0277113
272 246832 -0.0387545
273 246832 -0.0560809
274 246832 -0.0623994
275 246832 -0.0622694
276 246832 -0.0585222
277 246832 -0.0544959
278 246832 -0.0509701
279 246832 -0.0508112
280 246832 -0.0443033
281 246832 -0.0329417
282 246832 -0.0305576
283 246855 -0.0213593
284 246832 -0.00688761
285 246832 -0.00735299
286 246834 -0.00568622
287 246855 -0.00475423
288 246855 -0.00992755
289 246855 -0.0139341
290 246855 -0.0254114
291 246855 -0.0350168
292 246855 -0.0468823
293 246855 -0.0542624
294 246855 -0.0589487
295 246855 -0.0681524
296 246855 -0.0752106
297 246855 -0.0673262
298 246855 -0.0455923
299 246855 -0.0253651
300 246855 -0.0212157
301 246855 -0.0119388
302 246832 0.00653016
303 246832 0.0141612
304 246832 0.00622617
305 246832 -0.0156078
306 246832 -0.0248246
307 246832 -0.00849795
308 246832 0.0162315
309 246832 0.026492
310 246832 0.0391081
311 246832 0.0536696
312 246832 0.0467844
313 246832 0.0124083
314 246832 0.00399164
315 246832 0.0216203
316 246832 0.0294748
317 246832 0.0218748
318 246832 0.0133833
319 246832 0.00690128
320 246832 0.00782435
321 246832 0.0170813
322 246832 0.00468619
323 246832 -0.015914
324 246832 -0.0147848
325 246832 -0.0217834
326 246832 -0.0417105
327 246832 -0.0504862
328 246832 -0.0576886
329 246832 -0.0529879
330 246832 -0.044379
331 246832 -0.0471002
332 246866 -0.0439114
333 246927 -0.0252456
334 246930 0.000762457
335 246930 0.0179205
336 246930 0.0193075
337 246930 0.0122243
338 246930 0.00821775
339 246930 0.0154332
340 246930 0.0152117
341 246956 0.0054983
342 247026 0.0129518
343 247179 0.0320639
344 247519 0.046412
345 248105 0.0509366
346 248765 0.0590788
347 249563 0.0586073
348 250361 0.0503056
349 251026 0.039776
350 251776 0.0313433
351 252524 0.050534
352 253189 0.0765394
353 253987 0.0920132
354 254785 0.0999303
355 255583 0.106161
356 256245 0.117327
357 256995 0.142475
358 257752 0.185394
359 258431 0.226905
