NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
ndata = 259608
-2 1
-1 0.252313
24.5 246930 -0.00908279
24.6 246930 -0.00748066
24.7 246930 -0.00510142
24.8 246930 -0.00510142
24.9 246930 -0.00209445
25 246930 -0.00209445
25.1 246930 0.00134762
25.2 246930 0.00134762
25.3 246930 0.00500041
25.4 246930 0.00500041
25.5 246930 0.00862569
25.6 246930 0.0119954
25.7 246930 0.0119954
25.8 246930 0.0149161
25.9 246930 0.0149161
26 246930 0.0172498
26.1 246930 0.0172498
26.2 246930 0.0189273
26.3 246930 0.0199526
26.4 246930 0.0199526
26.5 246930 0.0203979
26.6 246930 0.0203979
26.7 246930 0.0203912
26.8 246930 0.0203912
26.9 246930 0.0200994
27 246927 0.0196684
27.1 246927 0.0196684
27.2 246918 0.019261
27.3 246918 0.019261
27.4 246906 0.0191074
27.5 246906 0.0191074
27.6 246893 0.0193845
27.7 246880 0.0202068
27.8 246880 0.0202068
27.9 246866 0.0216115
28 246866 0.0216115
28.1 246853 0.0236058
28.2 246853 0.0236058
28.3 246840 0.0261076
28.4 246832 0.0290518
28.5 246832 0.0290518
28.6 246832 0.0323274
28.7 246832 0.0323274
28.8 246832 0.0357026
28.9 246832 0.0357026
29 246832 0.0390354
29.1 246832 0.0421967
29.2 246832 0.0421967
29.3 246832 0.0450722
29.4 246832 0.0450722
29.5 246832 0.0475622
29.6 246832 0.0475622
29.7 246832 0.0495813
29.8 246832 0.0510603
29.9 246832 0.0510603
30 246832 0.0519498
30.1 246832 0.0519498
30.2 246832 0.0522261
30.3 246832 0.0522261
30.4 246832 0.0518967
30.5 246832 0.0510021
30.6 246832 0.0510021
30.7 246832 0.0496145
30.8 246832 0.0496145
30.9 246832 0.047828
31 246832 0.047828
31.1 246832 0.0457471
31.2 246832 0.0457471
31.3 246832 0.0434754
31.4 246832 0.0411122
31.5 246832 0.0411122
31.6 246832 0.0387557
31.7 246832 0.0387557
31.8 246832 0.0365091
31.9 246832 0.0365091
32 246832 0.0344849
32.1 246832 0.0328048
32.2 246832 0.0328048
32.3 246832 0.0315908
32.4 246832 0.0315908
32.5 246832 0.0309529
32.6 246832 0.0309529
32.7 246832 0.0309723
32.8 246832 0.0316869
32.9 246832 0.0316869
33 246832 0.0330809
33.1 246832 0.0330809
33.2 246832 0.0350817
33.3 246832 0.0350817
33.4 246832 0.037563
33.5 246832 0.0403542
33.6 246832 0.0403542
33.7 246832 0.0432545
33.8 246832 0.0432545
33.9 246832 0.0460525
34 246832 0.0460525
34.1 246832 0.0485496
34.2 246832 0.0505856
34.3 246832 0.0505856
34.4 246832 0.052062
34.5 246832 0.052062
34.6 246832 0.0529593
34.7 246832 0.0529593
34.8 246832 0.0533426
34.9 246832 0.0533526
35 246832 0.0533526
35.1 246832 0.053184
35.2 246832 0.053184
35.3 246832 0.0530516
35.4 246832 0.0530516
35.5 246832 0.0531558
35.6 246832 0.0536505
35.7 246832 0.0536505
35.8 246832 0.0546247
35.9 246832 0.0546247
36 246832 0.0560967
36.1 246832 0.0560967
36.2 246832 0.0580201
36.3 246832 0.0602981
36.4 246832 0.0602981
36.5 246832 0.0628039
36.6 246832 0.0628039
36.7 246832 0.0654005
36.8 246832 0.0654005
36.9 246832 0.0679572
37 246832 0.0679572
37.1 246832 0.0703628
37.2 246832 0.0725356
37.3 246832 0.0725356
37.4 246832 0.074431
37.5 246832 0.074431
37.6 246832 0.0760487
37.7 246832 0.0760487
37.8 246832 0.0774357
37.9 246832 0.078683
38 246832 0.078683
38.1 246832 0.0799133
38.2 246832 0.0799133
38.3 246832 0.0812598
38.4 246832 0.0812598
38.5 246832 0.0828389
38.6 246832 0.0847236
38.7 246832 0.0847236
38.8 246832 0.0869202
38.9 246832 0.0869202
39 246832 0.0893561
39.1 246832 0.0893561
39.2 246832 0.0918803
39.3 246832 0.0942772
39.4 246832 0.0942772
39.5 246832 0.0962905
39.6 246832 0.0962905
39.7 246832 0.0976528
39.8 246832 0.0976528
39.9 246832 0.0981165
40 246832 0.0974823
40.1 246832 0.0974823
40.2 246832 0.0956212
40.3 246832 0.0956212
40.4 246832 0.0924876
40.5 246832 0.0924876
40.6 246832 0.0881243
40.7 246832 0.08266
40.8 246832 0.08266
40.9 246832 0.0763
41 246832 0.0763
41.1 246832 0.0693089
41.2 246832 0.0693089
41.3 246832 0.0619894
41.4 246832 0.0546558
41.5 246832 0.0546558
41.6 246832 0.0476067
41.7 246832 0.0476067
41.8 246832 0.0410985
41.9 246832 0.0410985
42 246832 0.0353234
42.1 246832 0.0303965
42.2 246832 0.0303965
42.3 246832 0.0263522
42.4 246832 0.0263522
42.5 246832 0.0231512
42.6 246832 0.0231512
42.7 246832 0.0206954
